error_rate,support,N,TBR,TBR_transformed,PBS,PBS_transformed,counter,counter_transformed,smoothed_estimates
0.025,0.525,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.55,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.5750000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.6000000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.625,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.65,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.675,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.7000000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.7250000000000001,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
0.025,0.75,10,303,0,0.12173913043478257,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'C': 8019, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'M': 7351, 'A': 23527, 'V': 2775, 'U': 7420, 'W': 6}",{},{}
