error_rate,support,N,TBR,TBR_transformed,PBS,PBS_transformed,counter,counter_transformed,smoothed_estimates
0.1,0.07500000000000001,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'O': 0.14770999633442827, 'R': 0.12959566608420853, 'T': 0.17716624613424536, 'H': 0.13472390771300352, 'D': 0.10737803076944978, 'X': 0.07715307854644067, 'Y': 0.09581190634642145, 'G': 0.09337768200631333, 'I': 0.15592016527102098, 'L': 0.11779466036520483, 'B': 0.09084381105579144, 'E': 0.1943446100080785, 'K': 0.08105709039015208, 'S': 0.1421191097287121, 'A': 0.09356273999708178, 'U': 0.07570108508041126, 'V': 0.07512455826301724, 'F': 0.07524199891100491, 'M': 0.07501067642254435, 'N': 0.07500355880751479}"
0.1,0.1,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'O': 0.17270999633442827, 'R': 0.1545956660842085, 'T': 0.20216624613424533, 'H': 0.15972390771300354, 'D': 0.13237803076944976, 'X': 0.10215307854644066, 'Y': 0.12081190634642144, 'G': 0.11837768200631332, 'I': 0.180920165271021, 'L': 0.14279466036520483, 'B': 0.11584381105579143, 'E': 0.2193446100080785, 'K': 0.10605709039015207, 'S': 0.1671191097287121, 'A': 0.11856273999708178, 'U': 0.10070108508041126, 'V': 0.10012455826301724, 'F': 0.10024199891100491, 'M': 0.10001067642254434, 'N': 0.10000355880751478}"
0.1,0.125,10,230,133,0.33333333333333337,0.6144927536231883,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'I': 22738, 'L': 12025, 'E': 33535, 'S': 18860}","{'O': 0.19770999633442826, 'R': 0.17959566608420852, 'T': 0.22716624613424535, 'H': 0.1847239077130035, 'D': 0.15737803076944978, 'I': 0.20592016527102097, 'L': 0.16779466036520482, 'E': 0.2443446100080785, 'S': 0.1921191097287121}"
0.1,0.15000000000000002,10,230,105,0.33333333333333337,0.6956521739130435,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'I': 22738, 'E': 33535, 'S': 18860}","{'O': 0.22270999633442828, 'R': 0.20459566608420854, 'T': 0.2521662461342454, 'H': 0.20972390771300353, 'I': 0.230920165271021, 'E': 0.2693446100080785, 'S': 0.21711910972871212}"
0.1,0.17500000000000002,10,230,46,0.33333333333333337,0.8666666666666667,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'T': 28708, 'I': 22738, 'E': 33535}","{'T': 0.27716624613424534, 'I': 0.255920165271021, 'E': 0.29434461000807854}"
0.1,0.2,10,230,31,0.33333333333333337,0.9101449275362319,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}","{'T': 28708, 'E': 33535}","{'T': 0.30216624613424536, 'E': 0.3193446100080785}"
0.1,0.225,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.25,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.275,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.30000000000000004,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.325,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.35000000000000003,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.375,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.4,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.42500000000000004,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.45,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.47500000000000003,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.5,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.525,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.55,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.5750000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.6000000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.625,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.65,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.675,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.7000000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.7250000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.75,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.775,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.8,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.8250000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.8500000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.875,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.9,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.925,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.9500000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,0.9750000000000001,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.1,1.0,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'G': 5164, 'I': 22738, 'L': 12025, 'B': 4452, 'E': 33535, 'K': 1702, 'S': 18860, 'A': 5216, 'U': 197, 'V': 35, 'F': 68, 'M': 3, 'N': 1}",{},{}
0.125,0.025,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 0.09770999633442826, 'R': 0.07959566608420851, 'T': 0.12716624613424535, 'H': 0.08472390771300353, 'D': 0.05737803076944977, 'Y': 0.04581190634642145, 'B': 0.040847369863306206, 'G': 0.043377682006313326, 'I': 0.105920165271021, 'L': 0.06779466036520483, 'K': 0.03105709039015207, 'C': 0.05353807746100436, 'E': 0.14434105120056373, 'A': 0.07227164021879548, 'J': 0.025583644432423586, 'V': 0.025291822216211794, 'M': 0.025519585897157582, 'W': 0.025163705145679786, 'U': 0.025032029267633003, 'P': 0.025010676422544335}"
0.125,0.05,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 0.12270999633442826, 'R': 0.1045956660842085, 'T': 0.15216624613424534, 'H': 0.10972390771300353, 'D': 0.08237803076944977, 'Y': 0.07081190634642144, 'B': 0.06584736986330621, 'G': 0.06837768200631333, 'I': 0.130920165271021, 'L': 0.09279466036520484, 'K': 0.05605709039015207, 'C': 0.07853807746100437, 'E': 0.16934105120056372, 'A': 0.09727164021879549, 'J': 0.05058364443242359, 'V': 0.05029182221621179, 'M': 0.05051958589715758, 'W': 0.05016370514567979, 'U': 0.050032029267633005, 'P': 0.05001067642254434}"
0.125,0.07500000000000001,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 0.14770999633442827, 'R': 0.12959566608420853, 'T': 0.17716624613424536, 'H': 0.13472390771300352, 'D': 0.10737803076944978, 'Y': 0.09581190634642145, 'B': 0.09084736986330622, 'G': 0.09337768200631333, 'I': 0.15592016527102098, 'L': 0.11779466036520483, 'K': 0.08105709039015208, 'C': 0.10353807746100438, 'E': 0.19434105120056372, 'A': 0.1222716402187955, 'J': 0.07558364443242359, 'V': 0.0752918222162118, 'M': 0.0755195858971576, 'W': 0.0751637051456798, 'U': 0.07503202926763301, 'P': 0.07501067642254435}"
0.125,0.1,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 0.17270999633442827, 'R': 0.1545956660842085, 'T': 0.20216624613424533, 'H': 0.15972390771300354, 'D': 0.13237803076944976, 'Y': 0.12081190634642144, 'B': 0.11584736986330621, 'G': 0.11837768200631332, 'I': 0.180920165271021, 'L': 0.14279466036520483, 'K': 0.10605709039015207, 'C': 0.12853807746100437, 'E': 0.21934105120056374, 'A': 0.1472716402187955, 'J': 0.10058364443242358, 'V': 0.1002918222162118, 'M': 0.10051958589715759, 'W': 0.1001637051456798, 'U': 0.10003202926763301, 'P': 0.10001067642254434}"
0.125,0.125,10,230,230,0.33333333333333337,0.33333333333333337,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 0.19770999633442826, 'R': 0.17959566608420852, 'T': 0.22716624613424535, 'H': 0.1847239077130035, 'D': 0.15737803076944978, 'Y': 0.14581190634642144, 'B': 0.1408473698633062, 'G': 0.14337768200631332, 'I': 0.20592016527102097, 'L': 0.16779466036520482, 'K': 0.13105709039015206, 'C': 0.15353807746100437, 'E': 0.2443410512005637, 'A': 0.17227164021879549, 'J': 0.1255836444324236, 'V': 0.1252918222162118, 'M': 0.1255195858971576, 'W': 0.1251637051456798, 'U': 0.125032029267633, 'P': 0.12501067642254432}"
0.125,0.15000000000000002,10,230,145,0.33333333333333337,0.5797101449275363,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'I': 22738, 'L': 12025, 'C': 8019, 'E': 33534, 'A': 13283}","{'O': 0.22270999633442828, 'R': 0.20459566608420854, 'T': 0.2521662461342454, 'H': 0.20972390771300353, 'D': 0.1823780307694498, 'I': 0.230920165271021, 'L': 0.19279466036520485, 'C': 0.1785380774610044, 'E': 0.26934105120056373, 'A': 0.1972716402187955}"
0.125,0.17500000000000002,10,230,90,0.33333333333333337,0.7391304347826086,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'I': 22738, 'E': 33534}","{'O': 0.24770999633442828, 'R': 0.2295956660842085, 'T': 0.27716624613424534, 'H': 0.23472390771300355, 'I': 0.255920165271021, 'E': 0.29434105120056375}"
0.125,0.2,10,230,46,0.33333333333333337,0.8666666666666667,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'T': 28708, 'I': 22738, 'E': 33534}","{'T': 0.30216624613424536, 'I': 0.280920165271021, 'E': 0.3193410512005637}"
0.125,0.225,10,230,31,0.33333333333333337,0.9101449275362319,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}","{'T': 28708, 'E': 33534}","{'T': 0.32716624613424533, 'E': 0.34434105120056374}"
0.125,0.25,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}",{},{}
0.125,0.275,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}",{},{}
0.125,0.30000000000000004,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}",{},{}
0.125,0.325,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}",{},{}
0.125,0.35000000000000003,10,230,0,0.33333333333333337,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'K': 1702, 'C': 8019, 'E': 33534, 'A': 13283, 'J': 164, 'V': 82, 'M': 146, 'W': 46, 'U': 9, 'P': 3}",{},{}
